iter	RMSE
0	230.4973104
1	214.0052982
2	199.0834648
3	185.9831548
4	174.6804865
5	164.8482937
6	156.2424303
7	148.8486906
8	142.4921652
9	137.1301296
10	132.4262619
11	128.4035994
12	124.9661226
13	122.0767247
14	119.6849947
15	117.51303
16	115.8733392
17	114.4086395
18	113.0758702
19	111.8651687
20	110.8036203
21	109.9638332
22	109.4803828
23	109.0357746
24	108.8411489
25	108.4084124
26	108.0075736
27	107.7696908
28	107.6775875
29	107.1806602
30	106.6251221
31	106.2973915
32	106.2250041
33	105.7792864
34	105.7343061
35	105.6870101
36	105.3240797
37	105.1369165
38	104.9850336
39	104.9617045
40	104.8067432
41	104.7758145
42	104.5286834
43	104.3537273
44	104.1593184
45	104.1477737
46	104.1185328
47	104.0027369
48	103.9728341
49	103.6661233
50	103.3338788
51	103.1597777
52	103.1087326
53	102.8780854
54	102.8582745
55	102.6384198
56	102.6033326
57	102.5719515
58	102.5609651
59	102.5535909
60	102.5424793
61	102.4495155
62	102.2532112
63	102.1055823
64	102.0807421
65	102.0685515
66	102.0536773
67	101.8648954
68	101.8382973
69	101.7564018
70	101.74008
71	101.6121598
72	101.4906827
73	101.3236074
74	100.9804633
75	100.8129964
76	100.6792248
77	100.5860744
78	100.3468282
79	100.2024876
80	100.1375131
81	100.0548524
82	100.0395936
83	99.91774443
84	99.91404835
85	99.74710498
86	99.65371049
87	99.64552097
88	99.5356918
89	99.38498523
90	99.28792475
91	99.2732356
92	99.13638063
93	99.01343842
94	98.89669855
95	98.77589761
96	98.49724895
97	98.45793097
98	98.41978385
99	98.40921759
