iter	Passed	Remaining
0	18	1877
1	35	1755
2	53	1731
3	70	1701
4	87	1671
5	104	1637
6	122	1621
7	136	1574
8	151	1536
9	166	1499
10	181	1470
11	198	1452
12	215	1441
13	233	1434
14	251	1423
15	268	1410
16	287	1402
17	307	1402
18	326	1392
19	346	1387
20	367	1381
21	387	1373
22	409	1372
23	431	1366
24	454	1362
25	474	1350
26	495	1339
27	517	1330
28	538	1317
29	557	1299
30	579	1290
31	603	1283
32	625	1270
33	649	1260
34	672	1249
35	695	1236
36	718	1222
37	739	1206
38	763	1193
39	785	1178
40	806	1160
41	831	1147
42	854	1132
43	875	1114
44	897	1097
45	919	1079
46	945	1066
47	968	1049
48	991	1031
49	1012	1012
50	1035	994
51	1056	975
52	1081	958
53	1107	943
54	1129	924
55	1152	905
56	1179	889
57	1202	870
58	1226	852
59	1250	833
60	1277	816
61	1299	796
62	1322	776
63	1342	755
64	1366	735
65	1388	715
66	1411	695
67	1432	674
68	1452	652
69	1473	631
70	1495	610
71	1515	589
72	1535	568
73	1558	547
74	1582	527
75	1607	507
76	1631	487
77	1658	467
78	1685	448
79	1712	428
80	1737	407
81	1761	386
82	1786	365
83	1808	344
84	1832	323
85	1852	301
86	1872	279
87	1894	258
88	1915	236
89	1937	215
90	1957	193
91	1979	172
92	1999	150
93	2019	128
94	2040	107
95	2061	85
96	2083	64
97	2105	42
98	2126	21
99	2148	0
